# stamp t_recv t_estimated err ground_truth t_send
8810 1712823010.222986000 1712823010.202069817 8.67362e-19 1712823010.202785 1712823010.221763
8835 1712823010.247770000 1712823010.227069817 8.67362e-19 1712823010.227786 1712823010.246715
8860 1712823010.272835000 1712823010.252069817 8.67362e-19 1712823010.252787 1712823010.271719
8885 1712823010.297785000 1712823010.277069817 8.67362e-19 1712823010.277788 1712823010.296693
8910 1712823010.322970000 1712823010.302069817 8.67362e-19 1712823010.302789 1712823010.321721
8935 1712823010.347880000 1712823010.327069817 8.67362e-19 1712823010.327790 1712823010.346756
8960 1712823010.372898000 1712823010.352069817 8.67362e-19 1712823010.352791 1712823010.371713
8985 1712823010.397809000 1712823010.377069817 8.67362e-19 1712823010.377792 1712823010.396695
9010 1712823010.422853000 1712823010.402069817 8.67362e-19 1712823010.402793 1712823010.421741
9035 1712823010.447866000 1712823010.427069817 8.67362e-19 1712823010.427794 1712823010.446719
9060 1712823010.472935000 1712823010.452069817 8.67362e-19 1712823010.452795 1712823010.471715
9085 1712823010.497902000 1712823010.477069817 8.67362e-19 1712823010.477796 1712823010.496731
9110 1712823010.522936000 1712823010.502069817 8.67362e-19 1712823010.502797 1712823010.521724
9135 1712823010.547843000 1712823010.527069817 8.67362e-19 1712823010.527798 1712823010.546723
9160 1712823010.572775000 1712823010.552069817 8.67362e-19 1712823010.552799 1712823010.571716
9185 1712823010.597943000 1712823010.577069817 8.67362e-19 1712823010.577800 1712823010.596746
9209 1712823010.622795000 1712823010.601069817 0 1712823010.602801 1712823010.621711
9234 1712823010.647876000 1712823010.626069817 8.67362e-19 1712823010.627802 1712823010.646731
9259 1712823010.672899000 1712823010.651069817 8.67362e-19 1712823010.652803 1712823010.671728
9284 1712823010.697908000 1712823010.676069817 8.67362e-19 1712823010.677804 1712823010.696730
9309 1712823010.722876000 1712823010.701069817 8.67362e-19 1712823010.702805 1712823010.721744
9334 1712823010.747800000 1712823010.726069817 8.67362e-19 1712823010.727806 1712823010.746712
9359 1712823010.772871000 1712823010.751069817 8.67362e-19 1712823010.752807 1712823010.771753
9384 1712823010.797849000 1712823010.776069817 8.67362e-19 1712823010.777808 1712823010.796722
9409 1712823010.822800000 1712823010.801069817 8.67362e-19 1712823010.802809 1712823010.821751
9434 1712823010.847863000 1712823010.826069817 8.67362e-19 1712823010.827810 1712823010.846726
9459 1712823010.872904000 1712823010.851069817 8.67362e-19 1712823010.852811 1712823010.871740
9484 1712823010.897824000 1712823010.876069817 8.67362e-19 1712823010.877812 1712823010.896713
9509 1712823010.922835000 1712823010.901069817 8.67362e-19 1712823010.902813 1712823010.921741
9534 1712823010.947834000 1712823010.926069817 8.67362e-19 1712823010.927814 1712823010.946766
9559 1712823010.972828000 1712823010.951069817 8.67362e-19 1712823010.952815 1712823010.971739
9584 1712823010.997860000 1712823010.976069817 8.67362e-19 1712823010.977816 1712823010.996735
9609 1712823011.022868000 1712823011.001069817 8.67362e-19 1712823011.002817 1712823011.021783
9634 1712823011.047915000 1712823011.026069817 8.67362e-19 1712823011.027818 1712823011.046768
9659 1712823011.072866000 1712823011.051069817 8.67362e-19 1712823011.052819 1712823011.071752
9684 1712823011.097972000 1712823011.076069817 8.67362e-19 1712823011.077820 1712823011.096729
9709 1712823011.122900000 1712823011.101069817 8.67362e-19 1712823011.102821 1712823011.121745
9734 1712823011.147863000 1712823011.126069817 8.67362e-19 1712823011.127822 1712823011.146731
